id	bairro	zona	altura_maxima	coef_aproveitamento_basico	coef_aproveitamento_maximo	area_minima_lote	testada_minima_lote	modulo_fracionamento	face_maxima_quarteirao	area_maxima_quarteirao	area_minima_quarteirao	enquadramento_fracionamento	area_publica_viaria_fracionamento	area_publica_equip_fracionamento	enquadramento_desmembramento_t1	area_publica_viaria_desmembramento_t1	area_publica_equip_desmembramento_t1	enquadramento_desmembramento_t2	area_publica_viaria_desmembramento_t2	area_publica_equip_desmembramento_t2	enquadramento_desmembramento_t3	area_publica_viaria_desmembramento_t3	area_publica_equip_desmembramento_t3	enquadramento_loteamento	area_publica_viaria_loteamento	area_publica_equip_loteamento	coef_basico_4d	coef_maximo_4d	afastamento_frente	afastamento_lateral	afastamento_fundos	taxa_permeabilidade_acima_1500	taxa_permeabilidade_ate_1500	fator_conversao_permeabilidade	recuo_jardim	comercio_varejista_inocuo	comercio_varejista_ia1	comercio_varejista_ia2	comercio_atacadista_ia1	comercio_atacadista_ia2	comercio_atacadista_ia3	servico_inocuo	servico_ia1	servico_ia2	servico_ia3	industria_inocua	industria_interferencia_ambiental	nivel_controle_entretenimento	created_at	updated_at
96	MORRO SANTANA	ZOT 13	60	3.6	6.5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	300	S/L	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
97	MORRO SANTANA	ZOT 11	42	2.5	5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
98	MORRO SANTANA	ZOT 15	9	0.3	0	20000	50	0	0	0	200000	0	Não se aplica	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	0	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN	18% da altura total desde o RN			20	0	300	300	300	Proibido	Proibido	Proibido	300	S/L / 300	Proibido	Proibido	300	Pré-existências e Produção rural	Nível 1	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
99	MORRO SANTANA	ZOT 04	18	2	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
100	MORRO SANTANA	ZOT 03	12.5	2	3	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	Isento	Isento			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
101	TRÊS FIGUEIRAS	ZOT 08.3 - C	90	3.6	7.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
102	TRÊS FIGUEIRAS	ZOT 04	18	2	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
103	TRÊS FIGUEIRAS	ZOT 07	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
104	LOMBA DO PINHEIRO	ZOT 04	18	2	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
105	LOMBA DO PINHEIRO	ZOT 03	12.5	2	3	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	Isento	Isento			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
106	LOMBA DO PINHEIRO	ZOT 01	9	1.5	2.5	150	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	Isento	Isento			30	4	S/L	1000	500	Proibido	Proibido	Proibido	S/L	1500	Proibido	Proibido	300	Proibido	Nível 2	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
107	LOMBA DO PINHEIRO	ZOT 14	9	0.5	0	20000	50	0	0	0	200000	0	Não se aplica	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	0	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN	18% da altura total desde o RN			20	0	300	300	300	Proibido	Proibido	Proibido	300	S/L / 300	Proibido	Proibido	300	Pré-existências e Produção rural	Nível 1	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
108	LOMBA DO PINHEIRO	ZOT 15	9	0.3	0	20000	50	0	0	0	200000	0	Não se aplica	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	0	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN	18% da altura total desde o RN			20	0	300	300	300	Proibido	Proibido	Proibido	300	S/L / 300	Proibido	Proibido	300	Pré-existências e Produção rural	Nível 1	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
109	LOMBA DO PINHEIRO	ZOT 12	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
110	LOMBA DO PINHEIRO	ZOT 16	9	0.3	0	20000	50	0	0	0	200000	0	Não se aplica	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	0	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN	18% da altura total desde o RN			20	0	300	300	300	Proibido	Proibido	Proibido	300	S/L / 300	Proibido	Proibido	300	Proibido	Nível 1	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
111	LOMBA DO PINHEIRO	ESPECIAL	0	0	0	0	0	0	0	0	Conforme Projeto	0	Conforme Projeto	Conforme Projeto	Conforme Projeto	0	Conforme Projeto	Conforme Projeto	0	Conforme Projeto	Conforme Projeto	0	Conforme Projeto	Conforme Projeto	0	0	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto			0	0	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	Conforme Projeto	0	Conforme Projeto	Conforme Projeto	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
112	LOMBA DO PINHEIRO	ZOT 09	18	2	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
113	JARDIM ITU	ZOT 07	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
114	JARDIM ITU	ZOT 06	42	2.5	5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
115	JARDIM ITU	ZOT 05	33	2.5	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
116	JARDIM ITU	ZOT 13	60	3.6	6.5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	300	S/L	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
117	JARDIM ITU	ZOT 12	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
118	JARDIM ITU	ZOT 11	42	2.5	5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
119	JARDIM SABARÁ	ZOT 12	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
120	JARDIM SABARÁ	ZOT 07	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
121	JARDIM SABARÁ	ZOT 06	42	2.5	5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
122	JARDIM SABARÁ	ZOT 08.3 - C	90	3.6	7.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
123	SANTA TEREZA	ZOT 12	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
124	SANTA TEREZA	ZOT 06	42	2.5	5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
125	SANTA TEREZA	ZOT 05	33	2.5	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
126	SANTA TEREZA	ZOT 04	18	2	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
127	SANTA TEREZA	ZOT 03	12.5	2	3	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	Isento	Isento			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1000	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
128	SANTA TEREZA	ZOT 07	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
129	SANTA TEREZA	ZOT 15	9	0.3	0	20000	50	0	0	0	200000	0	Não se aplica	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	0	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN	18% da altura total desde o RN			20	0	300	300	300	Proibido	Proibido	Proibido	300	S/L / 300	Proibido	Proibido	300	Pré-existências e Produção rural	Nível 1	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
130	SANTA TEREZA	ZOT 01	9	1.5	2.5	150	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	Isento	Isento			30	4	S/L	1000	500	Proibido	Proibido	Proibido	S/L	1500	Proibido	Proibido	300	Proibido	Nível 2	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
131	HUMAITÁ	ZOT 08.2 - B	130	3.6	7.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	7.5	13	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	S/L	300	S/L	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
132	JARDIM BOTÂNICO	ZOT 08.3 - B	90	3.6	7.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
133	JARDIM BOTÂNICO	ZOT 08.3 - C	90	3.6	7.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
134	JARDIM BOTÂNICO	ZOT 15	9	0.3	0	20000	50	0	0	0	200000	0	Não se aplica	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	Não se aplica	Não se aplica	0	0	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN	18% da altura total desde o RN			20	0	300	300	300	Proibido	Proibido	Proibido	300	S/L / 300	Proibido	Proibido	300	Pré-existências e Produção rural	Nível 1	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
135	JARDIM BOTÂNICO	ZOT 07	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
136	SANTO ANTÔNIO	ZOT 10	33	2.5	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
137	SANTO ANTÔNIO	ZOT 06	42	2.5	5	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
138	SANTO ANTÔNIO	ZOT 12	60	3.6	6.5	125	5	5000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	S/L	1500	S/L	S/L	S/L	S/L	300	1500	Nível 4	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
139	SANTO ANTÔNIO	ZOT 05	33	2.5	4	125	5	3000	200	22500	Não se aplica	3000	Não se aplica	Não se aplica	acima de 3000 a 4000 m²	10	Compartilhado	acima de 4000 a 5000 m²	15	Compartilhado	acima de 5000 a 22500 m²	18	Compartilhado	acima de 22500 m²	32	18	Não se aplica	Não se aplica	Isento	18% da altura total desde o RN, aplicável acima de 12,5 m,	18% da altura total desde o RN, aplicável acima de 12,5 m,			50	4	S/L	S/L	S/L	S/L	1500	Proibido	S/L	S/L	S/L	Proibido	300	1500	Nível 3	2025-08-08T12:35:29.980917	2025-08-08T12:35:29.980917
